# BEGIN PLOT
Legend=1
LogY=1
Title=${\rm }K/\pi$ in INEL pp collisions at $\sqrt{s} =  7$~TeV in $|y| < 0.5$.
XLabel=$p_{\rm T}$ (GeV/$c$)
YLabel=$({\rm K}^{+} + {\rm K}^{-})/(\pi^{+} +\pi^{-})$
DrawOnly=/ALICE_2015_I1357424/d02-x01-y01 //afs/cern.ch/user/s/siragoni/RivetTutorial/ALICE_Tutorial_v2/Rivet.yoda/ALICE_2015_I1357424/d02-x01-y01
LegendOnly=/ALICE_2015_I1357424/d02-x01-y01 //afs/cern.ch/user/s/siragoni/RivetTutorial/ALICE_Tutorial_v2/Rivet.yoda/ALICE_2015_I1357424/d02-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2015_I1357424/d02-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2015_I1357424/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2015_I1357424/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	6.498000e-02	4.872966e-03	4.872966e-03
2.500000e-01	3.000000e-01	7.928000e-02	5.802206e-03	5.802206e-03
3.000000e-01	3.500000e-01	9.566000e-02	2.326972e-03	2.326972e-03
3.500000e-01	4.000000e-01	1.099300e-01	2.031945e-03	2.031945e-03
4.000000e-01	4.500000e-01	1.269000e-01	4.555809e-03	4.555809e-03
4.500000e-01	5.000000e-01	1.485700e-01	6.454843e-03	6.454843e-03
5.000000e-01	5.500000e-01	1.668300e-01	7.279924e-03	7.279924e-03
5.500000e-01	6.000000e-01	1.805800e-01	9.733370e-03	9.733370e-03
6.000000e-01	6.500000e-01	1.884800e-01	1.011495e-02	1.011495e-02
6.500000e-01	7.000000e-01	2.012100e-01	1.076279e-02	1.076279e-02
7.000000e-01	7.500000e-01	2.143100e-01	1.146588e-02	1.146588e-02
7.500000e-01	8.000000e-01	2.261700e-01	1.208456e-02	1.208456e-02
8.000000e-01	8.500000e-01	2.379700e-01	1.275110e-02	1.275110e-02
8.500000e-01	9.000000e-01	2.502400e-01	1.339233e-02	1.339233e-02
9.000000e-01	9.500000e-01	2.603000e-01	1.394346e-02	1.394346e-02
9.500000e-01	1.000000e+00	2.678000e-01	1.444991e-02	1.444991e-02
1.000000e+00	1.100000e+00	2.797000e-01	1.513308e-02	1.513308e-02
1.100000e+00	1.200000e+00	2.930000e-01	1.605273e-02	1.605273e-02
1.200000e+00	1.300000e+00	3.064000e-01	1.747341e-02	1.747341e-02
1.300000e+00	1.400000e+00	3.157000e-01	1.838831e-02	1.838831e-02
1.400000e+00	1.500000e+00	3.288000e-01	2.040833e-02	2.040833e-02
1.500000e+00	1.600000e+00	3.356000e-01	1.629969e-02	1.629969e-02
1.600000e+00	1.700000e+00	3.504000e-01	1.672005e-02	1.672005e-02
1.700000e+00	1.800000e+00	3.602000e-01	1.804716e-02	1.804716e-02
1.800000e+00	1.900000e+00	3.712000e-01	1.958699e-02	1.958699e-02
1.900000e+00	2.000000e+00	3.820000e-01	1.941778e-02	1.941778e-02
2.000000e+00	2.100000e+00	3.905000e-01	2.106015e-02	2.106015e-02
2.100000e+00	2.200000e+00	3.985000e-01	2.132346e-02	2.132346e-02
2.200000e+00	2.300000e+00	4.157000e-01	2.320194e-02	2.320194e-02
2.300000e+00	2.400000e+00	4.094000e-01	2.322068e-02	2.322068e-02
2.400000e+00	2.500000e+00	4.140000e-01	2.983907e-02	2.983907e-02
2.500000e+00	2.600000e+00	4.153000e-01	2.946812e-02	2.946812e-02
2.600000e+00	2.700000e+00	4.178000e-01	3.058513e-02	3.058513e-02
2.700000e+00	2.800000e+00	4.170000e-01	3.160918e-02	3.160918e-02
2.800000e+00	2.900000e+00	4.103000e-01	3.056436e-02	3.056436e-02
2.900000e+00	3.000000e+00	4.112000e-01	3.115205e-02	3.115205e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/s/siragoni/RivetTutorial/ALICE_Tutorial_v2/Rivet.yoda/ALICE_2015_I1357424/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/s/siragoni/RivetTutorial/ALICE_Tutorial_v2/Rivet.yoda/ALICE_2015_I1357424/d02-x01-y01
Title=Rivet
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	9.510870e-02	1.682344e-02	1.682344e-02
2.500000e-01	3.000000e-01	1.008174e-01	1.738971e-02	1.738971e-02
3.000000e-01	3.500000e-01	1.085714e-01	1.854409e-02	1.854409e-02
3.500000e-01	4.000000e-01	1.495017e-01	2.389431e-02	2.389431e-02
4.000000e-01	4.500000e-01	1.169811e-01	2.220536e-02	2.220536e-02
4.500000e-01	5.000000e-01	1.282051e-01	2.486216e-02	2.486216e-02
5.000000e-01	5.500000e-01	1.218274e-01	2.633919e-02	2.633919e-02
5.500000e-01	6.000000e-01	1.774194e-01	3.351271e-02	3.351271e-02
6.000000e-01	6.500000e-01	1.755725e-01	3.969331e-02	3.969331e-02
6.500000e-01	7.000000e-01	1.333333e-01	3.173968e-02	3.173968e-02
7.000000e-01	7.500000e-01	1.869919e-01	4.247982e-02	4.247982e-02
7.500000e-01	8.000000e-01	2.282609e-01	5.520357e-02	5.520357e-02
8.000000e-01	8.500000e-01	1.720430e-01	4.656384e-02	4.656384e-02
8.500000e-01	9.000000e-01	2.957746e-01	7.347101e-02	7.347101e-02
9.000000e-01	9.500000e-01	1.153846e-01	4.974903e-02	4.974903e-02
9.500000e-01	1.000000e+00	2.884615e-01	8.454307e-02	8.454307e-02
1.000000e+00	1.100000e+00	1.562500e-01	4.338107e-02	4.338107e-02
1.100000e+00	1.200000e+00	2.812500e-01	7.503661e-02	7.503661e-02
1.200000e+00	1.300000e+00	2.830189e-01	8.277254e-02	8.277254e-02
1.300000e+00	1.400000e+00	1.800000e-01	6.517668e-02	6.517668e-02
1.400000e+00	1.500000e+00	4.230769e-01	1.521729e-01	1.521729e-01
1.500000e+00	1.600000e+00	2.692308e-01	1.146426e-01	1.146426e-01
1.600000e+00	1.700000e+00	2.187500e-01	9.127595e-02	9.127595e-02
1.700000e+00	1.800000e+00	2.272727e-01	1.125986e-01	1.125986e-01
1.800000e+00	1.900000e+00	4.166667e-01	2.217878e-01	2.217878e-01
