# BEGIN PLOT
Legend=1
LogY=1
Title=${\rm p}/\pi$ in INEL pp collisions at $\sqrt{s} =  7$~TeV in $|y| < 0.5$.
XLabel=$p_{\rm T}$ (GeV/$c$)
YLabel=$({\rm p} + \bar{\rm p})/(\pi^{+} +\pi^{-})$
DrawOnly=/ALICE_2015_I1357424/d03-x01-y01 //afs/cern.ch/user/s/siragoni/RivetTutorial/ALICE_Tutorial_v2/Rivet.yoda/ALICE_2015_I1357424/d03-x01-y01
LegendOnly=/ALICE_2015_I1357424/d03-x01-y01 //afs/cern.ch/user/s/siragoni/RivetTutorial/ALICE_Tutorial_v2/Rivet.yoda/ALICE_2015_I1357424/d03-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2015_I1357424/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2015_I1357424/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2015_I1357424/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-01	3.500000e-01	3.054000e-02	2.923354e-03	2.923354e-03
3.500000e-01	4.000000e-01	3.803000e-02	3.402881e-03	3.402881e-03
4.000000e-01	4.500000e-01	4.597000e-02	3.942854e-03	3.942854e-03
4.500000e-01	5.000000e-01	5.541000e-02	1.929378e-03	1.929378e-03
5.000000e-01	5.500000e-01	6.428000e-02	2.059733e-03	2.059733e-03
5.500000e-01	6.000000e-01	7.368000e-02	2.220923e-03	2.220923e-03
6.000000e-01	6.500000e-01	8.015000e-02	3.867738e-03	3.867738e-03
6.500000e-01	7.000000e-01	8.967000e-02	4.358394e-03	4.358394e-03
7.000000e-01	7.500000e-01	9.938000e-02	4.610098e-03	4.610098e-03
7.500000e-01	8.000000e-01	1.103400e-01	4.814997e-03	4.814997e-03
8.000000e-01	8.500000e-01	1.187300e-01	4.259883e-03	4.259883e-03
8.500000e-01	9.000000e-01	1.287700e-01	4.647688e-03	4.647688e-03
9.000000e-01	9.500000e-01	1.380000e-01	4.910652e-03	4.910652e-03
9.500000e-01	1.000000e+00	1.449400e-01	5.159108e-03	5.159108e-03
1.000000e+00	1.100000e+00	1.587700e-01	5.881802e-03	5.881802e-03
1.100000e+00	1.200000e+00	1.725500e-01	6.231035e-03	6.231035e-03
